#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
1;J0002+6216;8.668248;218.60;
2;J0006+1834;1.441446;11.41;
3;J0007+7303;3.165827;*;
4;J0011+08;0.391716;24.90;
5;J0014+4746;0.805997;30.41;
6;J0021-0909;0.432128;25.20;
7;J0023+0923;327.847021;14.33;
8;J0024-7204aa;543.478261;24.97;
9;J0024-7204ab;269.931798;24.37;
10;J0024-7204ac;364.963504;24.46;
11;J0024-7204ad;267.379679;24.41;
12;J0024-7204C;173.708219;24.60;
13;J0024-7204D;186.651670;24.74;
14;J0024-7204E;282.779107;24.24;
15;J0024-7204F;381.158664;24.38;
16;J0024-7204G;247.501525;24.44;
17;J0024-7204H;311.493418;24.37;
18;J0024-7204I;286.944700;24.43;
19;J0024-7204J;476.046858;24.59;
20;J0024-7204L;230.087746;24.40;
21;J0024-7204M;271.987229;24.43;
22;J0024-7204N;327.444319;24.57;
23;J0024-7204O;378.308788;24.36;
24;J0024-7204P;274.497480;24.29;
25;J0024-7204Q;247.943237;24.27;
26;J0024-7204R;287.318119;24.36;
27;J0024-7204S;353.306209;24.38;
28;J0024-7204T;131.778699;24.41;
29;J0024-7204U;230.264772;24.34;
30;J0024-7204V;207.892963;24.11;
31;J0024-7204W;425.107796;24.37;
32;J0024-7204X;209.576695;24.54;
33;J0024-7204Y;455.237178;24.47;
34;J0024-7204Z;219.565606;24.45;
35;J0025-19;0.765697;21.30;
36;J0026+6320;3.141120;245.06;
37;J0030+0451;205.530699;4.33;
38;J0033+57;3.174603;75.65;
39;J0033+61;1.096491;37.70;
40;J0034-0534;532.713430;13.77;
41;J0034-0721;1.060500;10.92;
42;J0034+69;27.170871;80.01;
43;J0038-2501;3.892164;5.71;
44;J0039+35;1.863238;53.04;
45;J0040+5716;0.894274;92.51;
46;J0043-73;1.066747;115.10;
47;J0045-7042;1.581438;70.00;
48;J0045-7319;1.079592;105.40;
49;J0048+3412;0.821629;39.92;
50;J0050+03;0.731764;26.50;
51;J0051+0423;2.819031;13.93;
52;J0052-72;5.223451;158.60;
53;J0054+66;0.719424;15.00;
54;J0054+69;*;90.30;
55;J0054+6946;1.200608;116.52;
56;J0055+5117;0.472775;44.01;
57;J0056+4756;2.118480;18.14;
58;J0057-7201;1.354899;27.00;
59;J0058+4950;1.003992;66.95;
60;J0058+6125;1.569859;128.30;
61;J0058-7218;45.942987;*;
62;J0059+69;0.872676;63.53;
63;J0100-7211;0.124682;*;
64;J0100+8023;0.669523;56.01;
65;J0101-6422;388.628426;11.93;
66;J0102+4839;337.837838;53.50;
67;J0102+6537;0.595534;65.85;
68;J0103+54;2.822435;55.60;
69;J0104+64;0.721501;44.60;
70;J0106+4855;12.025402;70.87;
71;J0107+1322;0.835154;21.67;
72;J0108-1431;1.238291;2.38;
73;J0108+6608;0.779023;30.55;
74;J0108+6905;0.933604;61.06;
75;J0110-22;0.792393;20.80;
76;J0111+6624;0.232457;111.20;
77;J0111-7131;1.452345;76.00;
78;J0113-7220;3.068586;125.49;
79;J0115+6325;1.917709;65.07;
80;J0117+5914;9.858135;49.42;
81;J0121+53;0.367001;91.38;
82;J0122+1416;0.719946;17.69;
83;J0125-23;272.045181;9.59;
84;J0125+62;0.585400;118.00;
85;J0131-7310;2.872539;205.20;
86;J0133-6957;2.157620;22.95;
87;J0134-2937;7.301316;21.81;
88;J0137+1654;2.411015;26.08;
89;J0137+6349;1.392830;285.50;
90;J0139+3336;0.801307;21.23;
91;J0139+5621;0.563271;101.84;
92;J0139+5814;3.670390;73.81;
93;J0141+6009;0.817696;34.93;
94;J0141+63;21.419753;272.80;
95;J0146+31;1.065984;25.00;
96;J0146+6145;0.115088;*;
97;J0147+5922;5.093689;40.11;
98;J0151-0635;0.682750;25.66;
99;J0152+0948;0.364080;22.88;
100;J0152-1637;1.200853;11.93;
101;J0154+1833;422.909914;19.80;
102;J0156+04;*;27.50;
103;J0156+3949;0.552010;59.83;
104;J0157+6212;0.425216;30.21;
105;J0158+21;1.979022;20.00;
106;J0201+7005;0.741188;21.03;
107;J0205+6449;15.217011;140.70;
108;J0206-4028;1.585914;12.90;
109;J0209+5759;0.939932;55.28;
110;J0210+5845;0.566185;76.77;
111;J0211-8159;0.928218;24.36;
112;J0212+5222;2.656844;38.21;
113;J0214+5222;40.691272;22.04;
114;J0215+6218;1.821892;84.00;
115;J0218+4232;430.461055;61.25;
116;J0220+36;0.971157;40.00;
117;J0229+20;1.239311;27.00;
118;J0231+7026;0.681747;46.68;
119;J0241+16;0.647082;16.00;
120;J0242+62;1.689189;3.92;
121;J0243+6027;0.678887;141.00;
122;J0244+14;0.469903;31.00;
123;J0248+4230;384.491935;48.26;
124;J0248+6021;4.606300;370.00;
125;J0250+5854;0.042489;45.28;
126;J0251+2606;393.460010;20.22;
127;J0255-5304;2.233596;15.90;
128;J0301+35;6.811989;57.43;
129;J0302+2252;0.828387;18.99;
130;J0304+1932;0.720677;15.66;
131;J0305+11;1.159958;27.97;
132;J0307+7443;316.455696;6.35;
133;J0312-0921;269.978402;20.50;
134;J0317+13;0.506509;12.90;
135;J0318+0253;192.683716;25.98;
136;J0323+3944;0.329807;26.19;
137;J0324+5239;2.970707;115.46;
